uid,airline,airline_id,source_airport,source_airport_id,destination_airport,destination_airport_id,codeshare,stops,equipment,airports-extended-geo-uk-only-join_country,airports-extended-geo-uk-only-join_type,layer,path,dest-airports_name,dest-airports_city,dest-airports_country,dest-airports_lat,dest-airports_long,dest-airports_type,src-airports_name,src-airports_city,src-airports_country,src-airports_lat,src-airports_long,src-airports_type
4664,AA,"24",ABZ,"532",LHR,"507",Y,0,321 320 319,United Kingdom,airport,routes-from-uk-filtered,/home/kieran/github/land-air-sea/datasets/openFlights/qgis/routes-from-uk.geojson|geometrytype=None|uniqueGeometryType=yes,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941,airport,Aberdeen Dyce Airport,Aberdeen,United Kingdom,57.2019004821777,-2.19777989387512,airport
4755,AA,"24",BHD,"467",LHR,"507",Y,0,"319",United Kingdom,airport,routes-from-uk-filtered,/home/kieran/github/land-air-sea/datasets/openFlights/qgis/routes-from-uk.geojson|geometrytype=None|uniqueGeometryType=yes,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941,airport,George Best Belfast City Airport,Belfast,United Kingdom,54.6180992126465,-5.87249994277954,airport
5386,AA,"24",EDI,"535",LHR,"507",Y,0,767 320 321,United Kingdom,airport,routes-from-uk-filtered,/home/kieran/github/land-air-sea/datasets/openFlights/qgis/routes-from-uk.geojson|geometrytype=None|uniqueGeometryType=yes,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941,airport,Edinburgh Airport,Edinburgh,United Kingdom,55.9500007629395,-3.37249994277954,airport
5469,AA,"24",GLA,"534",LHR,"507",Y,0,319 320 321,United Kingdom,airport,routes-from-uk-filtered,/home/kieran/github/land-air-sea/datasets/openFlights/qgis/routes-from-uk.geojson|geometrytype=None|uniqueGeometryType=yes,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941,airport,Glasgow International Airport,Glasgow,United Kingdom,55.8718986511,-4.43306016922,airport
5470,AA,"24",GLA,"534",PHL,"3752",,0,"757",United Kingdom,airport,routes-from-uk-filtered,/home/kieran/github/land-air-sea/datasets/openFlights/qgis/routes-from-uk.geojson|geometrytype=None|uniqueGeometryType=yes,Philadelphia International Airport,Philadelphia,United States,39.871898651123,-75.241096496582,airport,Glasgow International Airport,Glasgow,United Kingdom,55.8718986511,-4.43306016922,airport
5761,AA,"24",LBA,"517",LHR,"507",Y,0,"319",United Kingdom,airport,routes-from-uk-filtered,/home/kieran/github/land-air-sea/datasets/openFlights/qgis/routes-from-uk.geojson|geometrytype=None|uniqueGeometryType=yes,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941,airport,Leeds Bradford Airport,Leeds,United Kingdom,53.8658981323242,-1.66057002544403,airport
5800,AA,"24",LGW,"502",LAS,"3877",Y,0,"777",United Kingdom,airport,routes-from-uk-filtered,/home/kieran/github/land-air-sea/datasets/openFlights/qgis/routes-from-uk.geojson|geometrytype=None|uniqueGeometryType=yes,McCarran International Airport,Las Vegas,United States,36.08010101,-115.1520004,airport,London Gatwick Airport,London,United Kingdom,51.148102,-0.190278,airport
5801,AA,"24",LGW,"502",MCO,"3878",Y,0,"777",United Kingdom,airport,routes-from-uk-filtered,/home/kieran/github/land-air-sea/datasets/openFlights/qgis/routes-from-uk.geojson|geometrytype=None|uniqueGeometryType=yes,Orlando International Airport,Orlando,United States,28.4293994903564,-81.3089981079102,airport,London Gatwick Airport,London,United Kingdom,51.148102,-0.190278,airport
5802,AA,"24",LGW,"502",TPA,"3646",Y,0,"777",United Kingdom,airport,routes-from-uk-filtered,/home/kieran/github/land-air-sea/datasets/openFlights/qgis/routes-from-uk.geojson|geometrytype=None|uniqueGeometryType=yes,Tampa International Airport,Tampa,United States,27.9755001068115,-82.533203125,airport,London Gatwick Airport,London,United Kingdom,51.148102,-0.190278,airport
5804,AA,"24",LHR,"507",ABZ,"532",Y,0,319 321 320,United Kingdom,airport,routes-from-uk-filtered,/home/kieran/github/land-air-sea/datasets/openFlights/qgis/routes-from-uk.geojson|geometrytype=None|uniqueGeometryType=yes,Aberdeen Dyce Airport,Aberdeen,United Kingdom,57.2019004821777,-2.19777989387512,airport,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941,airport
