uid,equipment,source_name,source_city,source_country,source_lat,source_long
10187,736,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
10296,788,Birmingham International Airport,Birmingham,United Kingdom,52.4538993835,-1.74802994728
10571,788,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
10572,788 77W,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
10573,772,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
11033,763 787,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
11309,320,London Gatwick Airport,London,United Kingdom,51.148102,-0.190278
11310,320,London Gatwick Airport,London,United Kingdom,51.148102,-0.190278
12191,738,London Gatwick Airport,London,United Kingdom,51.148102,-0.190278
12192,738,London Gatwick Airport,London,United Kingdom,51.148102,-0.190278
12193,738,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
12194,73G,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
12772,777,London Gatwick Airport,London,United Kingdom,51.148102,-0.190278
12773,777,London Gatwick Airport,London,United Kingdom,51.148102,-0.190278
12774,777,London Gatwick Airport,London,United Kingdom,51.148102,-0.190278
12775,321 319 767 320,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
12776,777,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
12777,788,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
12778,744 777,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
12779,767,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
12780,777,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
12781,77W 744,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
12782,777 788,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
12783,320 32B 321,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
12784,744 777,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
12785,744 777,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
12786,744 77W 777,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
12787,744,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
12788,744 388,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
12789,320,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
12790,744 777,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
12791,763 744 777,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
12792,777 767,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
12793,744,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
12794,763,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
12795,777,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
12796,744 777,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
12797,744,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
12798,777,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
12799,744,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
12800,767,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
12801,788 744,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
12819,E90,Manchester Airport,Manchester,United Kingdom,53.3536987304688,-2.27495002746582
12820,757,Manchester Airport,Manchester,United Kingdom,53.3536987304688,-2.27495002746582
12821,763,Manchester Airport,Manchester,United Kingdom,53.3536987304688,-2.27495002746582
12914,E70,Aberdeen Dyce Airport,Aberdeen,United Kingdom,57.2019004821777,-2.19777989387512
13120,E90,Bristol Airport,Bristol,United Kingdom,51.382702,-2.71909
13243,F70,Cardiff International Airport,Cardiff,United Kingdom,51.3967018127441,-3.34332990646362
13260,AR8,Edinburgh Airport,Edinburgh,United Kingdom,55.9500007629395,-3.37249994277954
13378,737,Glasgow International Airport,Glasgow,United Kingdom,55.8718986511,-4.43306016922
13401,F70,Humberside Airport,Humberside,United Kingdom,53.5744018554688,-0.350832998752594
13444,F70,Leeds Bradford Airport,Leeds,United Kingdom,53.8658981323242,-1.66057002544403
13447,E90,London City Airport,London,United Kingdom,51.505299,0.055278
13448,E90,London City Airport,London,United Kingdom,51.505299,0.055278
13452,320,London Gatwick Airport,London,United Kingdom,51.148102,-0.190278
13453,320,London Gatwick Airport,London,United Kingdom,51.148102,-0.190278
13455,32S 321 320,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
13456,32S 320 321,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
13508,321 320,Manchester Airport,Manchester,United Kingdom,53.3536987304688,-2.27495002746582
13526,F70,Durham Tees Valley Airport,Teesside,United Kingdom,54.5092010498047,-1.42940998077393
13580,AR8,Newcastle Airport,Newcastle,United Kingdom,55.0374984741211,-1.69166994094849
13587,F70,Norwich International Airport,Norwich,United Kingdom,52.6758003235,1.28278005123
13817,735 E75,London Gatwick Airport,London,United Kingdom,51.148102,-0.190278
14398,S20 E70,Aberdeen Dyce Airport,Aberdeen,United Kingdom,57.2019004821777,-2.19777989387512
14399,321 320 319,Aberdeen Dyce Airport,Aberdeen,United Kingdom,57.2019004821777,-2.19777989387512
14437,319,George Best Belfast City Airport,Belfast,United Kingdom,54.6180992126465,-5.87249994277954
14507,E90 E70,Edinburgh Airport,Edinburgh,United Kingdom,55.9500007629395,-3.37249994277954
14508,734 319,Edinburgh Airport,Edinburgh,United Kingdom,55.9500007629395,-3.37249994277954
14509,767 320 319 321,Edinburgh Airport,Edinburgh,United Kingdom,55.9500007629395,-3.37249994277954
14529,E90 E70,Glasgow International Airport,Glasgow,United Kingdom,55.8718986511,-4.43306016922
14530,734 319,Glasgow International Airport,Glasgow,United Kingdom,55.8718986511,-4.43306016922
14531,319 321 320 767,Glasgow International Airport,Glasgow,United Kingdom,55.8718986511,-4.43306016922
14594,319,Leeds Bradford Airport,Leeds,United Kingdom,53.8658981323242,-1.66057002544403
14597,E70 S20,London City Airport,London,United Kingdom,51.505299,0.055278
14598,E90,London City Airport,London,United Kingdom,51.505299,0.055278
14599,E90 E70,London City Airport,London,United Kingdom,51.505299,0.055278
14600,E70,London City Airport,London,United Kingdom,51.505299,0.055278
14601,D38,London City Airport,London,United Kingdom,51.505299,0.055278
14602,AR8 E70,London City Airport,London,United Kingdom,51.505299,0.055278
14603,E90 E70,London City Airport,London,United Kingdom,51.505299,0.055278
14604,E70 E90,London City Airport,London,United Kingdom,51.505299,0.055278
14605,E70 E90 AR8,London City Airport,London,United Kingdom,51.505299,0.055278
14606,E90 E70,London City Airport,London,United Kingdom,51.505299,0.055278
14607,E90,London City Airport,London,United Kingdom,51.505299,0.055278
14608,E70 E90,London City Airport,London,United Kingdom,51.505299,0.055278
14609,S20,London City Airport,London,United Kingdom,51.505299,0.055278
14610,E90,London City Airport,London,United Kingdom,51.505299,0.055278
14611,E90,London City Airport,London,United Kingdom,51.505299,0.055278
14612,E70 E90,London City Airport,London,United Kingdom,51.505299,0.055278
14613,E90,London City Airport,London,United Kingdom,51.505299,0.055278
14614,S20,London City Airport,London,United Kingdom,51.505299,0.055278
14615,E90 E70,London City Airport,London,United Kingdom,51.505299,0.055278
14616,E90 E70,London City Airport,London,United Kingdom,51.505299,0.055278
14618,320,London Gatwick Airport,London,United Kingdom,51.148102,-0.190278
14619,319 734 320,London Gatwick Airport,London,United Kingdom,51.148102,-0.190278
14620,319 734,London Gatwick Airport,London,United Kingdom,51.148102,-0.190278
14621,734 319,London Gatwick Airport,London,United Kingdom,51.148102,-0.190278
14622,319 734,London Gatwick Airport,London,United Kingdom,51.148102,-0.190278
14623,777,London Gatwick Airport,London,United Kingdom,51.148102,-0.190278
14624,319 734 320,London Gatwick Airport,London,United Kingdom,51.148102,-0.190278
14625,777,London Gatwick Airport,London,United Kingdom,51.148102,-0.190278
14626,777,London Gatwick Airport,London,United Kingdom,51.148102,-0.190278
14627,734 319,London Gatwick Airport,London,United Kingdom,51.148102,-0.190278
14628,734,London Gatwick Airport,London,United Kingdom,51.148102,-0.190278
14629,734 319,London Gatwick Airport,London,United Kingdom,51.148102,-0.190278
14630,777,London Gatwick Airport,London,United Kingdom,51.148102,-0.190278
14631,734 319,London Gatwick Airport,London,United Kingdom,51.148102,-0.190278
14632,734 319,London Gatwick Airport,London,United Kingdom,51.148102,-0.190278
14633,319 734 320,London Gatwick Airport,London,United Kingdom,51.148102,-0.190278
14634,734 320 319,London Gatwick Airport,London,United Kingdom,51.148102,-0.190278
14635,734 319,London Gatwick Airport,London,United Kingdom,51.148102,-0.190278
14636,320 319 734,London Gatwick Airport,London,United Kingdom,51.148102,-0.190278
14637,734 319,London Gatwick Airport,London,United Kingdom,51.148102,-0.190278
14638,777,London Gatwick Airport,London,United Kingdom,51.148102,-0.190278
14639,777,London Gatwick Airport,London,United Kingdom,51.148102,-0.190278
14640,320,London Gatwick Airport,London,United Kingdom,51.148102,-0.190278
14641,777,London Gatwick Airport,London,United Kingdom,51.148102,-0.190278
14642,319 734,London Gatwick Airport,London,United Kingdom,51.148102,-0.190278
14643,777,London Gatwick Airport,London,United Kingdom,51.148102,-0.190278
14644,777,London Gatwick Airport,London,United Kingdom,51.148102,-0.190278
14645,320 734 319,London Gatwick Airport,London,United Kingdom,51.148102,-0.190278
14646,320 734 319,London Gatwick Airport,London,United Kingdom,51.148102,-0.190278
14647,DH4,London Gatwick Airport,London,United Kingdom,51.148102,-0.190278
14648,737,London Gatwick Airport,London,United Kingdom,51.148102,-0.190278
14649,319,London Gatwick Airport,London,United Kingdom,51.148102,-0.190278
14650,734 319,London Gatwick Airport,London,United Kingdom,51.148102,-0.190278
14651,734 319 320,London Gatwick Airport,London,United Kingdom,51.148102,-0.190278
14652,734,London Gatwick Airport,London,United Kingdom,51.148102,-0.190278
14653,734,London Gatwick Airport,London,United Kingdom,51.148102,-0.190278
14654,320,London Gatwick Airport,London,United Kingdom,51.148102,-0.190278
14655,734,London Gatwick Airport,London,United Kingdom,51.148102,-0.190278
14656,777,London Gatwick Airport,London,United Kingdom,51.148102,-0.190278
14657,319 320 734,London Gatwick Airport,London,United Kingdom,51.148102,-0.190278
14658,777,London Gatwick Airport,London,United Kingdom,51.148102,-0.190278
14659,734 319 320,London Gatwick Airport,London,United Kingdom,51.148102,-0.190278
14660,734 319 320,London Gatwick Airport,London,United Kingdom,51.148102,-0.190278
14661,777,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
14662,320 319 321,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
14663,744,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
14664,320,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
14665,767,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
14666,321,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
14667,767 320 319 321,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
14668,321 319 767 320,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
14669,767 320,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
14670,777,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
