uid,equipment,dest_name,dest_city,dest_country,dest_lat,dest_long
5880,319,Rotterdam The Hague Airport,Rotterdam,Netherlands,51.956902,4.43722
5881,777,San Diego International Airport,San Diego,United States,32.7336006165,-117.190002441
5882,777,Seattle Tacoma International Airport,Seattle,United States,47.449001,-122.308998
5883,744,San Francisco International Airport,San Francisco,United States,37.6189994812012,-122.375
5884,320,Sofia Airport,Sofia,Bulgaria,42.6966934204102,23.4114360809326
5885,319 321 320,Stuttgart Airport,Stuttgart,Germany,48.6898994446,9.22196006775
5886,319,Stavanger Airport Sola,Stavanger,Norway,58.876701354,5.6377801895
5887,319 320,Toulouse-Blagnac Airport,Toulouse,France,43.629101,1.36382
5888,320 321 319,Berlin-Tegel Airport,Berlin,Germany,52.5597,13.2877
5889,320 319,Venice Marco Polo Airport,Venice,Italy,45.505299,12.3519
5890,320 319,Vienna International Airport,Vienna,Austria,48.110298156738,16.569700241089
5891,320,Warsaw Chopin Airport,Warsaw,Poland,52.1656990051,20.9671001434
5892,777,Montreal / Pierre Elliott Trudeau International Airport,Montreal,Canada,45.4706001282,-73.7407989502
5893,744,Vancouver International Airport,Vancouver,Canada,49.193901062,-123.183998108
5894,767,Calgary International Airport,Calgary,Canada,51.113899231,-114.019996643
5895,787 744,Lester B. Pearson International Airport,Toronto,Canada,43.6772003174,-79.6305999756
5896,319 320,Zagreb Airport,Zagreb,Croatia,45.7429008484,16.0687999725
5897,320 319 321,Zürich Airport,Zurich,Switzerland,47.464699,8.54917
5936,E70,Helsinki Vantaa Airport,Helsinki,Finland,60.317199707031,24.963300704956
5937,757,John F Kennedy International Airport,New York,United States,40.63980103,-73.77890015
5938,319 320 321,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
5939,763,Chicago O'Hare International Airport,Chicago,United States,41.9786,-87.9048
5940,332,Philadelphia International Airport,Philadelphia,United States,39.871898651123,-75.241096496582
6176,319 321 320,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
7380,E70 E90 AR8,Frankfurt am Main Airport,Frankfurt,Germany,50.033333,8.570556
7381,E90 E70,Zürich Airport,Zurich,Switzerland,47.464699,8.54917
7393,734,Salzburg Airport,Salzburg,Austria,47.7933006287,13.0043001175
7394,319 320 321,EuroAirport Basel-Mulhouse-Freiburg Airport,Mulhouse,France,47.59,7.5291667
7395,767 319 320,Frankfurt am Main Airport,Frankfurt,Germany,50.033333,8.570556
7396,319,Hannover Airport,Hannover,Germany,52.461101532,9.68507957458
7397,319 321 320,Hamburg Airport,Hamburg,Germany,53.630401611328,9.9882297515869
7398,320 321 319,Munich Airport,Munich,Germany,48.353802,11.7861
7399,320 319,Paris-Orly Airport,Paris,France,48.7233333,2.3794444
7400,319 321 320,Stuttgart Airport,Stuttgart,Germany,48.6898994446,9.22196006775
7401,320 321 319,Berlin-Tegel Airport,Berlin,Germany,52.5597,13.2877
7402,320,Vienna International Airport,Vienna,Austria,48.110298156738,16.569700241089
7403,319 320 321,Zürich Airport,Zurich,Switzerland,47.464699,8.54917
