uid,equipment,dest_name,dest_city,dest_country,dest_lat,dest_long,source_name,source_city,source_country,source_lat,source_long
5844,"319",Hannover Airport,Hannover,Germany,52.461101532,9.68507957458,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
5845,321 319 320,Hamburg Airport,Hamburg,Germany,53.630401611328,9.9882297515869,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
5846,"320",Helsinki Vantaa Airport,Helsinki,Finland,60.317199707031,24.963300704956,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
5847,"767",,,,,,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
5848,744 777,Washington Dulles International Airport,Washington,United States,38.94449997,-77.45580292,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
5849,744 777,George Bush Intercontinental Houston Airport,Houston,United States,29.9843997955322,-95.3414001464844,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
5850,767 320,Atatürk International Airport,Istanbul,Turkey,40.976898,28.8146,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
5851,77W 777,John F Kennedy International Airport,New York,United States,40.63980103,-73.77890015,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
5852,380 744,OR Tambo International Airport,Johannesburg,South Africa,-26.1392,28.246,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
5853,"380",Kuala Lumpur International Airport,Kuala Lumpur,Malaysia,2.745579957962,101.70999908447,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
5854,"744",Kuwait International Airport,Kuwait,Kuwait,29.2266006469727,47.9688987731934,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
5855,"744",McCarran International Airport,Las Vegas,United States,36.08010101,-115.1520004,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
5856,77W,Los Angeles International Airport,Los Angeles,United States,33.94250107,-118.4079971,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
5857,"319",Leeds Bradford Airport,Leeds,United Kingdom,53.8658981323242,-1.66057002544403,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
5858,"767",Larnaca International Airport,Larnaca,Cyprus,34.8750991821289,33.6249008178711,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
5859,319 320 321,Milano Linate Airport,Milan,Italy,45.445099,9.27674,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
5860,"320",Humberto Delgado Airport (Lisbon Portela Airport),Lisbon,Portugal,38.7813,-9.13592,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
5861,"319",Luxembourg-Findel International Airport,Luxemburg,Luxembourg,49.6233333,6.2044444,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
5862,"319",Lyon Saint-Exupéry Airport,Lyon,France,45.725556,5.081111,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
5863,"777",Chennai International Airport,Madras,India,12.9900054931641,80.1692962646484,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
5864,319 320 321,Manchester Airport,Manchester,United Kingdom,53.3536987304688,-2.27495002746582,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
5865,77W 777,Miami International Airport,Miami,United States,25.7931995391846,-80.2906036376953,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
5866,319 320,Marseille Provence Airport,Marseille,France,43.439271922,5.22142410278,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
5867,320 321 319,Munich Airport,Munich,Germany,48.353802,11.7861,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
5868,319 320 321,Malpensa International Airport,Milano,Italy,45.6306,8.72811,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
5869,"744",Jomo Kenyatta International Airport,Nairobi,Kenya,-1.31923997402,36.9277992249,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
5870,320 321 319,Nice-Côte d'Azur Airport,Nice,France,43.6584014893,7.21586990356,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
5871,321 320 319,Newcastle Airport,Newcastle,United Kingdom,55.0374984741211,-1.69166994094849,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
